trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1199,False,"{'a': 0.5, 'e': 0.36422110669062213}",30,21,-26.939286288444862,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1200,False,"{'a': 0.5, 'e': 0.36328961222843875}",25,5,-5.54001279184614,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
1201,False,"{'a': 0.5, 'e': 0.3623577544766736}",20,12,1.4502699671334849,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1202,False,"{'a': 0.5, 'e': 0.361425534367184}",20,0,15.089854931387311,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1203,False,"{'a': 0.5, 'e': 0.3604929528321903}",20,0,7.447825434450998,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1204,False,"{'a': 0.5, 'e': 0.35956001080427363}",20,0,-74.40439274013049,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
1205,False,"{'a': 0.5, 'e': 0.35862670921637635}",25,13,-35.27481935423192,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1206,False,"{'a': 0.5, 'e': 0.3576930490017995}",20,12,3.509269333694143,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1207,False,"{'a': 0.5, 'e': 0.35675903109420365}",25,0,1.8511384880897042,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1208,False,"{'a': 0.5, 'e': 0.35582465642760625}",30,16,-76.42669384055804,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
1209,False,"{'a': 0.5, 'e': 0.3548899259363823}",25,6,-26.400640747013536,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
1210,False,"{'a': 0.5, 'e': 0.3539548405552618}",25,0,-3.8798255656802927,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
1211,False,"{'a': 0.5, 'e': 0.35301940121933034}",20,0,0.8851109215000401,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
1212,False,"{'a': 0.5, 'e': 0.35208360886402695}",25,8,-1.199864632161972,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1213,False,"{'a': 0.5, 'e': 0.3511474644251443}",30,18,10.470911640303536,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1214,False,"{'a': 0.5, 'e': 0.3502109688388262}",25,7,-1.9399326597957955,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
1215,False,"{'a': 0.5, 'e': 0.34927412304156863}",25,0,-22.103468419362738,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
1216,False,"{'a': 0.5, 'e': 0.348336927970217}",20,15,-4.716378482733186,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
1217,False,"{'a': 0.5, 'e': 0.34739938456196656}",30,0,-96.75307200576773,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
1218,False,"{'a': 0.5, 'e': 0.3464614937543603}",30,0,46.76815153007434,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1219,False,"{'a': 0.5, 'e': 0.3455232564852894}",30,12,10.000233832925295,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1220,False,"{'a': 0.5, 'e': 0.3445846736929906}",35,5,12.980432781500905,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",1
1221,False,"{'a': 0.5, 'e': 0.34364574631604705}",25,15,4.185654035889283,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1222,False,"{'a': 0.5, 'e': 0.3427064752933856}",20,0,-44.526194145576056,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
1223,False,"{'a': 0.5, 'e': 0.3417668615642776}",25,0,21.379334857013145,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
1224,False,"{'a': 0.5, 'e': 0.3408269060683363}",25,13,9.035779074490243,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1225,False,"{'a': 0.5, 'e': 0.3398866097455176}",25,11,-21.46811994749983,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
1226,False,"{'a': 0.5, 'e': 0.3389459735361172}",25,11,14.914194817076272,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1227,False,"{'a': 0.5, 'e': 0.33800499838077175}",20,8,24.698458433411727,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1228,False,"{'a': 0.5, 'e': 0.3370636852204559}",25,8,-43.056134861985484,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
1229,False,"{'a': 0.5, 'e': 0.3361220349964831}",20,9,5.230206499713309,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1230,False,"{'a': 0.5, 'e': 0.3351800486505031}",30,0,-7.207857943695214,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
1231,False,"{'a': 0.5, 'e': 0.3342377271245026}",25,9,-27.717922940707957,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
1232,False,"{'a': 0.5, 'e': 0.3332950713608026}",30,0,-15.343817067310312,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
1233,False,"{'a': 0.5, 'e': 0.33235208230205926}",25,8,-26.88714373598275,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
